Postcode,latitude,longitude
BB10 1AF,53.79763,-2.243355
BD10 0AF,53.820282,-1.708591
BH10 4AF,50.747501,-1.906726
BL0 0AF,53.648799,-2.311328
BN10 7AF,50.794613,-0.019477
BR1 1AG,51.401392,0.014948
BS10 5AF,51.49225,-2.588158
BT10 0AF,54.566063,-5.971985
CA10 1AF,54.748353,-2.707154
CB10 1AG,52.022311,0.23716
CF10 1AF,51.478723,-3.177407
CH1 1DA,53.190042,-2.887631
CM0 7AF,51.665705,0.83107
CO10 0AG,52.066086,0.770406
CR0 0AF,51.338315,-0.001272
CT10 1AF,51.359486,1.442135
CV10 0AG,52.527356,-1.463574
CW10 0AF,53.180594,-2.43975
DA10 0AF,51.448796,0.308335
DD10 0AF,56.770044,-2.47847
DE1 0NQ,52.914939,-1.465616
DG10 9AG,55.33464,-3.444338
DH1 1AG,54.788869,-1.529979
DL10 4AG,54.405378,-1.736043
DN10 4AH,53.444876,-0.850595
DT10 1AF,50.931017,-2.294646
DY10 1AL,52.382792,-2.248683
E10 5AL,51.571897,-0.013165
EC1A 1DN,51.524565,-0.112042
EH10 4AF,55.928314,-3.207705
EN10 6AF,51.722441,-0.024688
EX10 0AF,50.718228,-3.289593
FK10 1AF,56.11226,-3.796562
FY1 1BH,53.81872,-3.050516
G11 5AF,55.875509,-4.306134
GL10 2AJ,51.741464,-2.286379
GU10 1AF,51.236457,-0.732524
HA0 1AH,51.542914,-0.305495
HD1 1BL,53.647581,-1.782925
HG1 1AG,53.993009,-1.538891
HP10 0AF,51.588808,-0.681561
HR1 1AF,52.076278,-2.710492
HS1 2AH,58.220506,-6.395206
HU10 6AF,53.757099,-0.442039
HX1 1AG,53.72676,-1.859179
IG10 1AH,51.648964,0.056883
IP10 0AG,52.039469,1.250796
IV10 8RA,57.589775,-4.186915
KA10 6AJ,55.542312,-4.667837
KT10 0AF,51.376816,-0.338188
KW10 6RF,57.975496,-3.97342
KY10 2AF,56.205184,-2.770713
L10 0AH,53.467506,-2.912857
LA10 5AF,54.323992,-2.524591
LD1 5AJ,52.249717,-3.37199
LE10 0AG,52.540953,-1.3746
LL11 0FE,53.048893,-3.000085
LN10 5DY,53.205555,-0.248699
LS10 1AG,53.782338,-1.537803
LU1 1BH,51.879375,-0.422976
M11 1AE,53.477455,-2.173428
ME10 1AJ,51.340608,0.731616
MK10 0AG,52.038651,-0.686689
ML10 6AG,55.67674,-4.065831
N10 1AF,51.604002,-0.156378
NE10 0AH,54.95709,-1.57752
NG10 1AF,52.886726,-1.274993
NN10 0AG,52.292641,-0.596688
NP10 0AF,51.596594,-3.05575
NR10 3AF,52.687731,1.326155
NW10 0AG,51.560558,-0.254028
OL10 1AH,53.589795,-2.221492
